,c_International_plan,c_Voice_mail_plan,Number vmail messages,Total minutes,Total charge,Customer service calls,Churn
0,0,1,25,717.2,75.56,1,0
1,0,1,26,625.2,59.24000000000001,1,0
2,0,0,0,539.4000000000001,62.290000000000006,0,0
3,1,0,0,564.8,66.8,2,0
4,1,0,0,512.0,52.089999999999996,3,0
5,1,0,0,654.1999999999999,67.61,0,0
6,0,1,24,786.8000000000001,78.31,3,0
7,1,0,0,479.00000000000006,46.900000000000006,0,0
8,1,1,37,818.2,80.53999999999999,0,0
9,0,0,0,556.2,57.08,0,0
10,0,0,0,386.0,40.190000000000005,1,0
11,0,0,0,608.8,59.64,3,0
12,0,0,0,644.0,59.309999999999995,4,0
13,0,1,27,580.3999999999999,65.02,1,0
14,0,0,0,546.6,58.989999999999995,3,0
15,0,1,33,578.2,60.50000000000001,1,0
16,0,0,0,589.7,63.9,1,0
17,0,0,0,614.1999999999999,59.0,0,0
18,0,0,0,447.59999999999997,36.019999999999996,5,1
19,0,0,0,447.20000000000005,48.06,0,0
20,0,0,0,573.5999999999999,48.08,0,0
21,0,0,0,667.6,60.15,3,0
22,0,1,39,596.3,63.24,0,0
23,0,0,0,406.59999999999997,44.61,3,0
24,0,0,0,636.0,64.12,0,0
25,0,0,0,486.2,41.14,2,0
26,0,0,0,684.0999999999999,69.42999999999999,1,0
27,0,0,0,549.1,55.29,3,0
28,0,0,0,794.0,79.67999999999999,1,1
29,0,1,25,593.5999999999999,58.49,0,0
30,0,1,37,604.8000000000001,66.72,3,0
31,0,0,0,592.3,54.2,1,0
32,1,1,33,503.7,58.03,3,0
33,0,0,0,611.6,58.44,1,0
34,0,0,0,490.3,46.63999999999999,3,0
35,1,1,41,513.8,56.199999999999996,0,1
36,0,0,0,728.5,61.92999999999999,2,0
37,0,0,0,438.8,39.15,3,0
38,0,0,0,648.6,58.260000000000005,1,0
39,0,1,28,505.5,48.3,2,0
40,0,0,0,571.1999999999999,56.129999999999995,2,0
41,0,1,24,432.0,47.25,1,0
42,0,0,0,706.3,68.32,3,0
43,0,0,0,687.5,68.49000000000001,1,0
44,0,0,0,665.5,62.76,2,0
45,0,0,0,584.3000000000001,56.14,5,1
46,0,0,0,705.2,65.94,1,0
47,0,0,0,455.7,45.370000000000005,1,0
48,0,1,30,460.7,49.849999999999994,3,1
49,0,0,0,608.0,65.82,1,0
50,0,0,0,540.0,57.67999999999999,1,0
51,0,1,34,624.7,71.41999999999999,2,0
52,0,1,28,646.6,62.029999999999994,3,0
53,0,0,0,461.3,45.51,2,0
54,0,1,41,537.9000000000001,50.89000000000001,2,0
55,1,0,0,631.4,70.46,0,0
56,1,0,0,469.20000000000005,46.88,0,0
57,0,0,0,589.8,63.42999999999999,1,0
58,0,0,0,510.40000000000003,55.199999999999996,4,1
59,0,0,0,719.4,72.08,3,0
60,0,1,46,679.8000000000001,68.96,0,0
61,0,0,0,578.0,64.84,3,0
62,0,0,0,589.8,62.67999999999999,1,0
63,0,0,0,567.9,55.49999999999999,1,0
64,0,0,0,763.1000000000001,81.75,0,1
65,0,0,0,319.9,27.02,4,1
66,0,0,0,569.0,56.459999999999994,1,0
67,0,0,0,741.8000000000001,73.63,1,0
68,1,0,0,711.3000000000001,69.96000000000001,3,0
69,0,1,25,488.4,50.599999999999994,3,0
70,0,1,24,741.6999999999999,77.16000000000001,1,0
71,0,0,0,663.5999999999999,68.94,2,1
72,0,0,0,510.5,50.709999999999994,4,1
73,0,0,0,617.2,65.6,1,0
74,0,1,35,490.5,48.72,2,0
75,0,0,0,708.3,74.64,1,1
76,0,0,0,459.5,48.96,1,0
77,0,0,0,558.4,49.36000000000001,1,0
78,0,0,0,704.7,72.6,3,0
79,0,0,0,508.0,55.26,3,0
80,0,0,0,532.3999999999999,64.21000000000001,1,0
81,0,0,0,605.1,62.25000000000001,4,0
82,0,0,0,594.0,62.809999999999995,1,1
83,0,1,21,577.9999999999999,57.24,4,0
84,0,0,0,461.2,46.849999999999994,0,0
85,0,0,0,604.0999999999999,57.989999999999995,1,0
86,0,0,0,627.0999999999999,68.13,4,0
87,0,1,21,509.2,46.42999999999999,1,0
88,0,0,0,628.7,65.09,3,0
89,0,0,0,609.6999999999999,62.61000000000001,1,0
90,0,0,0,643.7,63.86,2,0
91,0,0,0,591.6999999999999,57.120000000000005,4,0
92,0,0,0,593.8,53.78999999999999,1,0
93,1,1,42,610.0,66.75,0,1
94,0,0,0,386.59999999999997,47.010000000000005,1,0
95,0,0,0,681.8,76.91000000000001,1,1
96,0,1,36,458.79999999999995,43.410000000000004,2,0
97,0,0,0,650.7,67.59,1,0
98,0,1,22,505.0,56.74,0,0
99,0,0,0,604.8,60.61,3,0
100,0,0,0,427.70000000000005,48.51,1,0
101,0,0,0,500.99999999999994,48.29,2,0
102,0,0,0,695.3,68.33999999999999,1,0
103,0,0,0,392.1,34.84,4,1
104,0,1,27,566.1999999999999,56.23,4,1
105,0,0,0,469.59999999999997,42.41,2,0
106,0,1,36,650.0999999999999,64.63,3,0
107,0,0,0,521.0,52.78999999999999,3,0
108,0,0,0,732.3,73.17999999999999,1,0
109,0,0,0,614.7,62.34,4,0
110,0,0,0,615.1,62.46,1,0
111,1,0,0,561.6000000000001,50.95,3,0
112,0,1,21,636.0999999999999,60.49999999999999,5,0
113,0,0,0,620.8,64.42999999999999,3,0
114,0,1,36,584.5,56.790000000000006,1,0
115,0,1,23,525.8000000000001,57.660000000000004,2,0
116,0,0,0,630.9,60.8,1,0
117,0,1,39,685.0,67.04,0,0
118,0,1,28,504.6,56.14,3,0
119,0,0,0,654.2,70.71,1,0
120,1,0,0,608.1,58.53,2,1
121,0,0,0,516.6999999999999,61.86,3,0
122,1,0,0,620.6,73.16,1,0
123,0,1,43,717.8,73.5,2,0
124,0,0,0,598.1,62.38,1,0
125,0,0,0,621.9,67.72000000000001,1,0
126,0,0,0,687.4,71.92,5,0
127,0,0,0,746.5,69.83,0,0
128,0,0,0,734.4999999999999,87.89,0,1
129,0,1,23,677.5,63.150000000000006,0,0
130,0,1,24,499.90000000000003,49.760000000000005,1,0
131,0,0,0,453.1,45.92,0,0
132,0,0,0,724.1,72.08999999999999,0,0
133,0,1,36,668.9,65.57,3,0
134,0,0,0,483.09999999999997,42.26,1,0
135,0,0,0,528.1999999999999,56.87,1,0
136,0,1,33,697.6999999999999,73.05999999999999,2,0
137,0,1,31,625.4000000000001,60.10000000000001,1,0
138,0,0,0,717.4,69.71000000000001,1,0
139,0,1,38,482.09999999999997,53.580000000000005,1,0
140,0,0,0,571.2,67.25,1,0
141,0,0,0,619.4,62.61999999999999,0,0
142,0,0,0,603.6,68.0,2,0
143,0,0,0,544.9000000000001,53.26,0,0
144,0,0,0,591.8000000000001,59.73,3,0
145,0,0,0,725.5999999999999,73.36,3,0
146,1,1,23,703.3,67.00999999999999,4,0
147,0,0,0,345.59999999999997,31.05,5,1
148,0,1,36,533.0999999999999,50.169999999999995,2,0
149,0,0,0,669.0,66.83000000000001,2,0
150,1,0,0,647.6999999999999,73.32999999999998,3,0
151,0,0,0,734.8,73.02,1,0
152,0,0,0,431.7,44.13,1,0
153,0,0,0,519.9,52.02,1,0
154,0,0,0,660.1,68.3,1,0
155,0,0,0,435.4,45.54,0,0
156,0,0,0,515.1,51.06,1,0
157,0,0,0,622.0,64.00999999999999,2,0
158,0,0,0,504.09999999999997,51.019999999999996,0,0
159,0,1,23,584.7,71.30999999999999,1,0
160,0,1,23,562.4,58.690000000000005,1,0
161,0,0,0,603.1,55.32999999999999,0,0
162,1,1,26,761.6999999999999,81.97999999999999,4,1
163,0,0,0,518.7,43.73,0,0
164,0,1,24,629.2,58.3,3,0
165,0,0,0,766.7,72.94,2,0
166,0,0,0,648.9,65.25,3,0
167,0,0,0,543.0,50.68,2,0
168,0,0,0,617.6999999999999,59.300000000000004,1,0
169,0,1,36,519.0,47.81,1,0
170,0,0,0,615.2,61.89,3,0
171,0,0,0,638.1000000000001,64.26,3,0
172,0,0,0,705.8,72.33,3,0
173,1,0,0,657.3000000000001,67.6,0,0
174,0,1,24,532.8000000000001,55.559999999999995,1,0
175,0,1,31,539.7,52.49999999999999,1,0
176,1,0,0,545.6,65.97,2,1
177,0,0,0,594.5999999999999,58.9,3,0
178,0,0,0,521.2,52.279999999999994,0,0
179,0,0,0,674.3,62.87,3,0
180,0,0,0,681.3,75.54,1,1
181,0,0,0,528.9,57.68,0,0
182,0,0,0,560.6,57.02,3,0
183,0,1,22,595.6,56.81999999999999,1,0
184,0,0,0,574.6999999999999,56.21,2,0
185,0,0,0,483.40000000000003,39.769999999999996,2,0
186,0,0,0,680.8000000000001,68.02,3,0
187,0,1,27,461.9,53.8,2,0
188,0,1,23,650.9,76.12,4,0
189,1,0,0,669.5,76.66999999999999,0,1
190,1,1,36,698.9,70.45,1,0
191,0,0,0,614.5,64.77000000000001,3,0
192,0,0,0,554.3000000000001,57.309999999999995,0,0
193,1,0,0,655.5999999999999,62.78,1,0
194,0,1,40,565.3,57.54,2,0
195,0,0,0,477.3,41.04,3,0
196,0,0,0,509.99999999999994,55.83,1,0
197,0,0,0,516.7,57.209999999999994,0,0
198,1,0,0,504.59999999999997,47.73,2,1
199,0,0,0,720.0,73.25999999999999,1,0
200,0,0,0,603.3000000000001,63.95,3,0
201,0,0,0,830.6,75.02000000000001,0,1
202,0,0,0,488.6,44.57,0,0
203,0,1,37,435.1,33.67,0,0
204,0,0,0,658.1,64.74000000000001,0,0
205,0,1,29,568.4,53.09,4,1
206,0,0,0,586.1,62.480000000000004,4,0
207,0,0,0,621.4,65.21,3,0
208,1,0,0,605.9,58.599999999999994,0,0
209,0,0,0,552.3,51.28,1,0
210,0,0,0,542.5,48.260000000000005,1,0
211,0,0,0,568.6,56.349999999999994,1,0
212,0,1,25,612.1000000000001,58.03,1,0
213,0,0,0,516.9,49.269999999999996,1,0
214,0,0,0,551.3,53.76,1,0
215,0,1,30,769.1999999999999,73.35,1,0
216,0,1,28,659.6,67.52999999999999,4,0
217,0,0,0,586.2,53.53,3,0
218,1,0,0,530.1,53.1,2,0
219,0,0,0,696.0,69.42999999999999,0,0
220,0,0,0,523.3000000000001,49.32,1,0
221,0,1,28,663.8,67.88,3,0
222,0,0,0,643.4000000000001,65.35000000000001,3,0
223,0,1,28,595.0999999999999,55.71,1,0
224,1,0,0,641.3000000000001,67.04,0,0
225,0,1,25,683.6999999999999,66.33999999999999,2,0
226,1,0,0,656.7,66.23,3,0
227,0,1,37,527.9000000000001,59.35,1,0
228,0,1,28,759.3,75.42000000000002,1,0
229,0,0,0,667.5,63.540000000000006,3,0
230,0,0,0,537.6999999999999,57.10000000000001,2,0
231,0,0,0,719.6,69.76,2,0
232,0,0,0,609.3000000000001,61.83,0,0
233,0,0,0,363.4,36.14,0,0
234,0,0,0,523.6999999999999,54.79,1,0
235,0,1,18,575.4,55.03,1,0
236,0,0,0,610.4000000000001,62.33,1,0
237,0,0,0,485.9,44.76,2,0
238,0,0,0,594.1999999999999,56.49,0,0
239,0,0,0,647.9,66.33000000000001,4,0
240,0,0,0,489.4,50.57,2,0
241,0,0,0,700.7,65.03,1,0
242,0,0,0,570.0,49.61000000000001,1,0
243,0,0,0,665.7,71.24,2,0
244,0,0,0,762.9000000000001,81.0,1,1
245,0,0,0,579.5,60.559999999999995,0,0
246,0,0,0,677.9999999999999,71.24000000000001,3,0
247,0,0,0,747.6,76.5,1,1
248,0,1,38,625.4000000000001,67.7,1,0
249,0,0,0,606.1,62.199999999999996,0,0
250,0,0,0,589.1999999999999,51.71,0,0
251,0,0,0,603.9,55.29,0,0
252,0,0,0,502.9,45.23,1,0
253,0,1,28,559.6,52.849999999999994,2,0
254,0,1,29,529.8000000000001,50.55,3,0
255,0,1,21,722.3,71.16,3,0
256,1,1,32,576.6,63.559999999999995,2,1
257,0,0,0,729.1,66.60000000000001,0,0
258,0,1,32,548.3,50.33,1,0
259,0,0,0,640.5,58.690000000000005,0,0
260,0,0,0,595.8,50.0,1,0
261,0,0,0,620.4,63.01,3,0
262,0,1,30,437.70000000000005,37.43,0,0
263,0,1,33,640.5,70.27999999999999,1,0
264,0,0,0,616.3,64.02,0,0
265,0,0,0,539.9,62.81,0,0
266,0,0,0,643.1,67.25,3,0
267,0,0,0,728.1999999999999,78.92999999999999,1,1
268,0,0,0,475.99999999999994,48.080000000000005,7,1
269,0,0,0,649.3,63.07,0,0
270,0,0,0,594.8,59.730000000000004,1,0
271,0,1,17,530.9,58.199999999999996,1,0
272,0,0,0,621.5,62.36,0,0
273,0,0,0,680.5,63.53,2,0
274,0,0,0,614.4,67.04,0,0
275,0,0,0,661.3000000000001,65.5,1,1
276,0,0,0,725.5999999999999,68.31,1,0
277,0,1,34,625.2,65.48,0,0
278,0,1,21,485.5,36.97,2,0
279,0,1,37,417.2,44.43000000000001,1,0
280,0,0,0,581.6,67.47999999999999,3,0
281,0,1,33,558.1000000000001,52.98,1,0
282,0,0,0,573.0,61.92999999999999,1,0
